StageName,InputFile,OutputFile
Face Cropping,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/crop/output/1.mp4_5_15.mp4

Frame no,Shot no,Face id,Crop_x_min,Crop_y_min,Crop_x_max,Crop_y_max
0,5,15,551.0,80.0,713.0,242.0
1,5,15,551.0,80.0,713.0,242.0
2,5,15,553.0,79.0,715.0,241.0
3,5,15,555.0,78.0,717.0,240.0
4,5,15,556.0,78.0,718.0,240.0
5,5,15,556.0,78.0,718.0,240.0
6,5,15,557.0,77.0,719.0,239.0
7,5,15,560.0,76.0,722.0,238.0
8,5,15,563.0,76.0,725.0,238.0
9,5,15,565.0,76.0,727.0,238.0
10,5,15,568.0,75.0,730.0,237.0
11,5,15,571.0,74.0,733.0,236.0
12,5,15,572.0,74.0,734.0,236.0
13,5,15,573.0,74.0,735.0,236.0
14,5,15,576.0,74.0,738.0,236.0
15,5,15,579.0,74.0,741.0,236.0
16,5,15,580.0,74.0,742.0,236.0
17,5,15,580.0,74.0,742.0,236.0
18,5,15,581.0,74.0,743.0,236.0
19,5,15,583.0,74.0,745.0,236.0
20,5,15,584.0,74.0,746.0,236.0
21,5,15,584.0,74.0,746.0,236.0
22,5,15,585.0,74.0,747.0,236.0
23,5,15,587.0,74.0,749.0,236.0
24,5,15,588.0,73.0,750.0,235.0
25,5,15,588.0,72.0,750.0,234.0
26,5,15,589.0,72.0,751.0,234.0
27,5,15,591.0,72.0,753.0,234.0
28,5,15,592.0,72.0,754.0,234.0
29,5,15,592.0,72.0,754.0,234.0
30,5,15,592.0,71.0,754.0,233.0
31,5,15,592.0,70.0,754.0,232.0
32,5,15,593.0,70.0,755.0,232.0
33,5,15,595.0,70.0,757.0,232.0
34,5,15,596.0,70.0,758.0,232.0
35,5,15,596.0,70.0,758.0,232.0
36,5,15,596.0,69.0,758.0,231.0
37,5,15,597.0,68.0,759.0,230.0
38,5,15,599.0,68.0,761.0,230.0
39,5,15,600.0,68.0,762.0,230.0
40,5,15,600.0,68.0,762.0,230.0
41,5,15,601.0,68.0,763.0,230.0
42,5,15,603.0,67.0,765.0,229.0
43,5,15,603.0,66.0,765.0,228.0
44,5,15,603.0,66.0,765.0,228.0
45,5,15,604.0,66.0,766.0,228.0
46,5,15,604.0,66.0,766.0,228.0
47,5,15,604.0,66.0,766.0,228.0
48,5,15,605.0,65.0,767.0,227.0
49,5,15,607.0,64.0,769.0,226.0
50,5,15,607.0,64.0,769.0,226.0
51,5,15,607.0,64.0,769.0,226.0
52,5,15,607.0,64.0,769.0,226.0
53,5,15,606.0,64.0,768.0,226.0
54,5,15,606.0,63.0,768.0,225.0
55,5,15,605.0,62.0,767.0,224.0
56,5,15,603.0,62.0,765.0,224.0
57,5,15,602.0,62.0,764.0,224.0
58,5,15,601.0,62.0,763.0,224.0
59,5,15,599.0,62.0,761.0,224.0
60,5,15,598.0,62.0,760.0,224.0
61,5,15,598.0,62.0,760.0,224.0
62,5,15,598.0,61.0,760.0,223.0
63,5,15,597.0,60.0,759.0,222.0
64,5,15,595.0,60.0,757.0,222.0
65,5,15,595.0,60.0,757.0,222.0
66,5,15,595.0,60.0,757.0,222.0
67,5,15,595.0,60.0,757.0,222.0
68,5,15,595.0,60.0,757.0,222.0
69,5,15,595.0,60.0,757.0,222.0
70,5,15,595.0,60.0,757.0,222.0
71,5,15,595.0,60.0,757.0,222.0
72,5,15,596.0,60.0,758.0,222.0
73,5,15,596.0,59.0,758.0,221.0
74,5,15,596.0,58.0,758.0,220.0
75,5,15,597.0,58.0,759.0,220.0
76,5,15,599.0,58.0,761.0,220.0
77,5,15,600.0,58.0,762.0,220.0
78,5,15,600.0,58.0,762.0,220.0
79,5,15,600.0,58.0,762.0,220.0
80,5,15,601.0,57.0,763.0,219.0
81,5,15,603.0,56.0,765.0,218.0
82,5,15,604.0,56.0,766.0,218.0
