StageName,InputFile,OutputFile
Face Tracking,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/track/output/1.mp4_faceTracks.csv

Frame number,Shot number,Face id,x_min,y_min,x_max,y_max
0,1,1,768,148,820,219
1,1,1,768.0,148.0,821.0,220.0
2,1,1,769.0,148.0,822.0,220.0
3,1,1,770.0,148.0,823.0,220.0
4,1,1,770.0,149.0,823.0,221.0
5,1,1,770.0,149.0,823.0,221.0
6,1,1,771.0,149.0,824.0,221.0
7,1,1,773.0,149.0,826.0,221.0
8,1,1,773.0,148.0,826.0,220.0
9,1,1,774.0,148.0,827.0,220.0
10,1,1,773.0,148.0,826.0,220.0
11,1,1,775.0,148.0,828.0,220.0
12,1,1,775.0,148.0,828.0,220.0
13,1,1,776.0,148.0,829.0,220.0
14,1,1,775.0,148.0,828.0,220.0
15,1,1,777.0,148.0,830.0,220.0
16,1,1,777.0,148.0,830.0,220.0
17,1,1,778.0,148.0,831.0,220.0
18,1,1,777.0,148.0,830.0,220.0
19,1,1,778.0,148.0,831.0,220.0
20,1,1,778.0,147.0,831.0,219.0
21,1,1,778.0,147.0,831.0,219.0
22,1,1,778.0,147.0,831.0,219.0
23,1,1,778.0,146.0,831.0,218.0
24,1,1,778.0,146.0,831.0,218.0
25,1,1,778.0,146.0,831.0,218.0
26,1,1,778.0,146.0,831.0,218.0
27,1,1,778.0,146.0,831.0,218.0
28,1,1,779.0,146.0,832.0,218.0
29,1,1,780.0,146.0,833.0,218.0
30,1,1,779.0,146.0,832.0,218.0
31,1,1,780.0,146.0,833.0,218.0
32,1,1,779.0,146.0,832.0,218.0
33,1,1,779.0,146.0,832.0,218.0
34,1,1,779.0,146.0,832.0,218.0
35,1,1,779.0,146.0,832.0,218.0
36,1,1,779.0,146.0,832.0,218.0
37,1,1,779.0,147.0,832.0,219.0
38,1,1,779.0,147.0,832.0,219.0
39,1,1,779.0,147.0,832.0,219.0
40,1,1,780.0,147.0,833.0,219.0
41,1,1,779.0,147.0,832.0,219.0
42,1,1,780.0,147.0,833.0,219.0
43,1,1,780.0,147.0,833.0,219.0
44,1,1,780.0,147.0,833.0,219.0
45,1,1,780.0,147.0,833.0,219.0
46,1,1,781.0,147.0,834.0,219.0
47,1,1,782.0,147.0,835.0,219.0
48,1,1,782.0,147.0,835.0,219.0
50,2,2,152,189,237,302
51,2,2,152.0,189.0,238.0,303.0
52,2,2,152.0,189.0,238.0,303.0
53,2,2,152.0,189.0,238.0,303.0
54,2,2,152.0,189.0,238.0,303.0
55,2,2,152.0,189.0,238.0,303.0
56,2,2,152.0,189.0,238.0,303.0
57,2,2,152.0,189.0,238.0,303.0
58,2,2,152.0,189.0,238.0,303.0
